codigo,producto_id,nombre_bm,cantidad,importe,unidad_pdf,coste_unitario,proveedor,lotes
C00000001,b01,CROISSANT MINI CHOCOLATE CREMOSO 198UD 31G,990.0,329.48,UD,0.332808,DISTRIBUCIONES VIERA SL,1
C00000009,p04,PANECILLO S/GLUTEN BETINA 55GRS 45 UND,24.0,40.94,UD,1.705833,COMERCIAL GUADALUPE,1
C00000011,p05,PAN GALLEGO BARRA 280GR 20 UND,267.0,363.44,UD,1.361199,DISTRIBUCIONES VIERA SL,1
C00000012,p06,PAN PIPAS CALABAZA 750GRS 12UDN,1.0,0.79,UD,0.79,PROVEEDORES VARIOS,1
C00000013,p07,SMOOTHIE B6 PITA-MANG-FRESA,60.0,66.0,UD,1.1,DISTRIBUCIONES VIERA SL,1
C00000014,p08,SURTIDO DE REPOSTERIA,1080.0,725.58,KG,0.671833,COMERCIAL GUADALUPE,1
C00000020,p09,MOLDE COMUN S/C 800GRS,71.0,199.57,UD,2.810845,PANIFICADORA SAN ANTONIO DE,29
C00000024,p11,MOLDE INTEGRAL S/C 1000 GRS,39.0,114.1,UD,2.925641,PANIFICADORA SAN ANTONIO DE,10
C00000025,p12,"PAPA BRAVA EUROFRIT 4X2,5",8.0,44.76,KG,5.595,DISTRIBUCIONES VIERA SL,2
C00000026,p13,MANTEQUILLA EN PORCIONES 200UDS 8G,3576.0,946.41,UD,0.264656,MILO CANARIAS ALIMENTACION,1
C00000028,p14,"BACON SELECTED PREMIUM 4-2,27KG",72.64,479.68,KG,6.603524,DISTRIBUCIONES TIERNEY SL,1
C00000031,b02,SMOOTHIES VIERA B7 COLADA,40.0,44.4,UD,1.11,DISTRIBUCIONES VIERA SL,3
C00000033,p17,CUBITON,164.0,190.68,UD,1.162683,ALCRUZ CANARIAS S.L.,6
C00000034,p18,ARTIS MINI TOSCANA CENTENO 200UD 40GR,600.0,186.0,UD,0.31,DISTRIBUCIONES VIERA SL,1
C00000037,p20,"SALCHICHA INGLESA 4,54KG",880.0,173.25,KG,0.196875,DISTRIBUCIONES TIERNEY SL,1
C00000044,p24,NACHOS 12*500GRS CJ,12.0,38.64,UD,3.22,COMESA LANZAROTE SLU,1
C00000045,p25,"MANGO CUBOS 4*2,5KG",40.0,150.4,KG,3.76,ALCRUZ CANARIAS S.L.,1
C00000047,p26,MINI PANBAO 8B*45UND 700GRS,24.0,122.1,UD,5.0875,PROVEEDORES VARIOS,4
C00000049,p28,PAN PERRITO,27.0,7.3,UD,0.27037,PANIFICADORA SAN ANTONIO DE,0
C00000050,p29,PAPA HASH BROWN FARM FRITES,30.0,170.69,KG,5.689667,DISTRIBUCIONES VIERA SL,1
