producto_id,codigo,nombre,unidad,stock,coste_unitario_eur,motivo_coste,categoria,es_bebida
p305,C00001210,ACEITE DE FREIR 100% VEGETAL 20L,L,0,,sin_lotes,105,False
p212,C00000524,ACEITE EXT VIRGEN ESENCIA AJO 250ML,Ud,1.0,3.46,fifo,105,False
p211,C00000523,ACEITE EXT VIRGEN ESENCIA ROMERO 250ML,Ud,0,,sin_lotes,105,False
p213,C00000525,ACEITE EXT VIRGEN ESENCIA TRUFA 250ML,Ud,1.0,4.04,fifo,105,False
p279,C00001136,ACEITE SESAMO 100% 500ML,Ud,1.0,7.13,fifo,106,False
p95,C00000147,ACEITE V.EXTRA 100UND,Ud,330.0,0.107818,fifo,106,False
b25,C00000302,AGUA MANANTIAL PET 50CL,Ud,9.0,0.735556,fifo,104,True
b69,C00001229,AGUACATE CUBO CONGELADO,Ud,1.0,5.99,fifo,106,False
p155,C00000323,AJO MOLIDO 710GRS,Ud,0,,sin_lotes,105,False
p330,C00001249,ALBAHACA,Ud,0,,sin_lotes,105,False
p84,C00000129,ALBARICOQUE,Kg,3.0,1.1,fifo,105,False
p378,C00001408,ALBONDIGAS CONG BOLSA,Kg,0,,sin_lotes,101,False
p318,C00001225,ALIOLI 252X10GRS,Ud,232.0,0.106552,fifo,105,False
p269,C00000928,ALUBIA BLANCA 1KG,Ud,0,,sin_lotes,101,False
b17,C00000289,AMARETTO DISARONNO 1L,Ud,0,,sin_lotes,104,True
p414,C00001553,APIO BLANCO BOLSA,Ud,1.0,1.7,fifo,105,False
p265,C00000753,AQUABONA SINGULAR PET50 C12,Ud,42.0,0.128986,fifo,104,True
p262,C00000749,ARANDANOS,Ud,0,,sin_lotes,105,False
p03,C00000002,ARTIS MINI CHAPATA 40GRS 160UD,Ud,0.0,2.5,ultimo_lote,106,False
p223,C00000536,"AZUCAR GLASS 2,5KG",Kg,1.0,5.75,fifo,105,False
p252,C00000620,BAGUETTINA 120GRS 66UN,Ud,149.697,2.5,fifo,102,False
p136,C00000278,BAILYS ORIGINAL 17º,Ud,3.0,14.3,fifo,104,True
p394,C00001459,BANDA TIRAMISU,Ud,7.0,12.615714,fifo,105,False
p406,C00001525,"BANDERILLAS GALON 4,2KG",Ud,0,,sin_lotes,101,False
b66,C00001209,BEBIDA DE ALMENDRA 1L,Ud,5.0,2.0,fifo,106,False
b10,C00000265,BEBIDA DE SOJA BRIK 1L,Ud,8.0,2.7675,fifo,106,False
p193,C00000483,BIENMESABE 1KG,Kg,0,,sin_lotes,108,False
p270,C00000995,BOLSA BOCADILLO 40UD,Ud,40.0,0.03725,fifo,101,False
p398,C00001479,BOMBONA GAS 12KG,Ud,7.0,48.54,fifo,104,True
p27,C00000048,bowl oval vinci,Ud,2.0,1.715,fifo,101,False
b50,C00000596,BRANDY JEREZ CARLOS I 40º,Ud,1.0,24.1,fifo,104,True
b52,C00000603,BRANDY JEREZ RVA MAGNO 70CL,Ud,0,,sin_lotes,104,True
p332,C00001251,BRIOCHE 4X24 SPECIAL,Ud,0.0,2.5,ultimo_lote,103,False
p278,C00001135,CACAO TAZA S/GLUTEN,Ud,0,,sin_lotes,106,False
p292,C00001177,CALAMAR SAH,Kg,7.8,15.4275,fifo,105,False
p268,C00000814,CALDO COCIDO,Ud,2.0,0.9,fifo,105,False
p271,C00001008,CALDO PAELLA / MARISCO,Ud,1.0,1.9,fifo,105,False
p370,C00001389,CALDO SOLUBLE PESCADO 1KG,Ud,7.0,1.0,fifo,105,False
p242,C00000598,CAMPARI 25º 1L,Ud,3.0,14.05,fifo,104,True
p412,C00001543,CARNE DE PRIMERA,Kg,0,,sin_lotes,101,False
p132,C0000027,CARNE VACA,Kg,0,,sin_lotes,101,False
p233,C00000553,CAYENA GUINDILLA ENTERA 160GRS,Ud,0,,sin_lotes,105,False
p178,C00000362,CEBOLLINO,Ud,0,,sin_lotes,105,False
p104,C00000166,CERDO AGUJA,Kg,0,,sin_lotes,105,False
b85,C00001552,CERVEZA CORONITA MINI,Ud,0.0,2.5,ultimo_lote,104,True
b63,C00001173,CERVEZA VOLL DAM BOT 25CL,Ud,0,,sin_lotes,104,True
b44,C00000572,CHAMPAGNE PIPER HEIDSIECK BRUT CUVEE 750CC,Ud,22.0,29.308636,fifo,104,True
b45,C00000573,CHAMPAGNE PIPER HEIDSIECK ROSE SAUVAGE 750CC,Ud,28.0,31.825357,fifo,104,True
p255,C00000695,CHEDDAR CHEESE SAUCE,Ud,0,,sin_lotes,105,False
p256,C00000726,CHEDDAR LONCHAS,Ud,0,,sin_lotes,105,False
p324,C00001240,CHESSECAKE KORFEST,Ud,0,,sin_lotes,101,False
p289,C00001150,CHISTORRA ROJA FRESCA,Ud,0,,sin_lotes,105,False
p379,C00001409,CHULETERO TERNERA FRESCO CORTADO,Kg,0,,sin_lotes,105,False
p307,C00001212,CIRUELA AMARILLA,Kg,0,,sin_lotes,106,False
p281,C00001138,CIRUELA DESECADA S/HUESO 50/60 10KG,Kg,0,,sin_lotes,105,False
p82,C00000127,CIRUELA ROJA,Kg,0,,sin_lotes,106,False
b59,C00001080,COCACOLA LATA 33 C24,Ud,71.0,0.137913,fifo,104,True
b60,C00001081,COCACOLA ZERO LATA 33 C24,Ud,99.0,0.634865,fifo,104,True
p304,C00001208,COCTEL DE FRUTAS EN ALMIBAR 3KG,Ud,2.0,2.5,fifo,106,False
p139,C00000283,CODORNIU PRIMA VIDES B 75CL,Ud,53.0,5.82,fifo,104,True
p311,C00001217,COGOLLO UND,Ud,0,,sin_lotes,106,False
