producto_id,codigo,nombre,unidad,stock,motivo,en_compras_pdf,categoria
p305,C00001210,ACEITE DE FREIR 100% VEGETAL 20L,L,0,sin_lotes,No,105
p211,C00000523,ACEITE EXT VIRGEN ESENCIA ROMERO 250ML,Ud,0,sin_lotes,No,105
p155,C00000323,AJO MOLIDO 710GRS,Ud,0,sin_lotes,No,105
p330,C00001249,ALBAHACA,Ud,0,sin_lotes,No,105
p378,C00001408,ALBONDIGAS CONG BOLSA,Kg,0,sin_lotes,No,101
p269,C00000928,ALUBIA BLANCA 1KG,Ud,0,sin_lotes,No,101
b17,C00000289,AMARETTO DISARONNO 1L,Ud,0,sin_lotes,No,104
p348,C00001273,ANGUS CARNE,Kg,0,sin_lotes,Si,105
p262,C00000749,ARANDANOS,Ud,0,sin_lotes,No,105
p254,C00000678,ARTIS MALTA 100GRS 30UD,Ud,0,sin_lotes,Si,106
p187,C00000380,ARTIS MINI ARLEQUIN 160UD 40GRS,Ud,0,sin_lotes,Si,102
p204,C00000514,BANDAMA CUBANITOS 90GRS,Ud,0,sin_lotes,Si,106
p406,C00001525,"BANDERILLAS GALON 4,2KG",Ud,0,sin_lotes,No,101
p193,C00000483,BIENMESABE 1KG,Kg,0,sin_lotes,No,108
p386,C00001436,BOLA DE PIZZA,Kg,0,sin_lotes,Si,101
b52,C00000603,BRANDY JEREZ RVA MAGNO 70CL,Ud,0,sin_lotes,No,104
p149,C00000312,BUEN LUGAR GOFIO DE MILLO,Ud,0,sin_lotes,Si,105
p278,C00001135,CACAO TAZA S/GLUTEN,Ud,0,sin_lotes,No,106
p113,C00000242,CALDO SOLUBLE COCIDO/VERDURA,Ud,0,sin_lotes,Si,105
p156,C00000324,CANELA MOLIDA 710GRS,Ud,0,sin_lotes,Si,105
p412,C00001543,CARNE DE PRIMERA,Kg,0,sin_lotes,No,101
p111,C00000240,CARNE PICADA PERSONAL,Kg,0,sin_lotes,Si,104
p132,C0000027,CARNE VACA,Kg,0,sin_lotes,No,101
p233,C00000553,CAYENA GUINDILLA ENTERA 160GRS,Ud,0,sin_lotes,No,105
p178,C00000362,CEBOLLINO,Ud,0,sin_lotes,No,105
p104,C00000166,CERDO AGUJA,Kg,0,sin_lotes,No,105
b63,C00001173,CERVEZA VOLL DAM BOT 25CL,Ud,0,sin_lotes,No,104
p255,C00000695,CHEDDAR CHEESE SAUCE,Ud,0,sin_lotes,No,105
p256,C00000726,CHEDDAR LONCHAS,Ud,0,sin_lotes,No,105
p324,C00001240,CHESSECAKE KORFEST,Ud,0,sin_lotes,No,101
p289,C00001150,CHISTORRA ROJA FRESCA,Ud,0,sin_lotes,No,105
p375,C00001405,CHORIZO CANARIO ROJO,Kg,0,sin_lotes,Si,105
p382,C00001431,CHORIZO CRIOLLO FRESCO,Kg,0,sin_lotes,Si,101
p379,C00001409,CHULETERO TERNERA FRESCO CORTADO,Kg,0,sin_lotes,No,105
p307,C00001212,CIRUELA AMARILLA,Kg,0,sin_lotes,No,106
p281,C00001138,CIRUELA DESECADA S/HUESO 50/60 10KG,Kg,0,sin_lotes,No,105
p82,C00000127,CIRUELA ROJA,Kg,0,sin_lotes,No,106
p311,C00001217,COGOLLO UND,Ud,0,sin_lotes,No,106
p157,C00000325,COLORANTE NATURAL 700GRS,Ud,0,sin_lotes,Si,105
p232,C00000552,COMINO MOLIDO 810GRS,Ud,0,sin_lotes,No,105
p153,C0000032,CONFITURA FRESA CRISTAL 30 GRS/CJ 48UDS,Ud,0,sin_lotes,No,106
p162,C0000033,CONFITURA MELOCOTON CRISTAL 30GRS/CJ 48UD,Ud,0,sin_lotes,No,106
p176,C0000036,CONFITURA NARANJA CRISTAL 30GRS/CJ 48 UD,Ud,0,sin_lotes,No,106
p188,C00000387,COPOS AVENA,Ud,0,sin_lotes,No,101
p337,C00001256,COSTILLAS CERDO,Kg,0,sin_lotes,Si,105
p253,C00000621,CREMA AFILADOR ORUJO 70CL,Ud,0,sin_lotes,No,104
p372,C00001391,CROISSANT S/G 30GRS 30 UND,Ud,0,sin_lotes,No,102
p299,C00001201,CROQUETA DE BOLETUS 1KG,Kg,0,sin_lotes,No,105
p377,C00001407,CROQUETAS DE POLLO,Kg,0,sin_lotes,No,101
p321,C00001236,CRUMBLE APPLE PIE 12 PORCIONES,Ud,0,sin_lotes,No,106
p353,C00001300,CUAJADA ROYAL 48GRS,Ud,0,sin_lotes,No,105
p315,C00001222,CURRY MOLIDO BOTE 1000GRS,Ud,0,sin_lotes,No,105
p380,C00001422,CV ARS COLLECTA BLANC D BLANCS,Ud,0,sin_lotes,No,104
p381,C00001423,CV ARS COLLECTA GRAND ROSE,Ud,0,sin_lotes,No,104
p186,C00000372,EL GRIFO ROSADO DE LAGRIMA 2021,Ud,0,sin_lotes,No,104
p320,C00001234,ESPECIERO REPOSTERIA,Ud,0,sin_lotes,No,106
p62,C00000102,FIAMBRE CARNE DE CERDO TULIP,Ud,0,sin_lotes,Si,101
p385,C00001435,FLORES COMESTIBLES,Kg,0,sin_lotes,No,101
p367,C00001375,"FRUSTAS DEL BOSQUE 4*2,5KG",Kg,0,sin_lotes,No,101
b77,C00001336,GALLETAS AGUA SERRANITA 30UN,Ud,0,sin_lotes,No,105
p53,C00000090,GALLINA BLANCA SALSA CHAMPIÑONES,Ud,0,sin_lotes,No,105
p216,C00000529,GALLINA BLANCA SALSA PIMIENTA,Ud,0,sin_lotes,No,105
p415,C00001554,GRANADAS GRANDES EXTRA,Ud,0,sin_lotes,No,106
p110,C0000024,GROSELLA BANDEJA,Ud,0,sin_lotes,No,105
p239,C00000590,"GUISANTES 4X2,5KG",Kg,0,sin_lotes,No,101
